Place,Description,State,City,Latitude,Longitude,YearBuilt,Dynasty
Taj Mahal,A white marble mausoleum built by Shah Jahan,Uttar Pradesh,Agra,27.1751,78.0421,1632,Mughal Empire
Red Fort,Historic fort and residence of Mughal emperors,Delhi,Delhi,28.6562,77.241,1648,Mughal Empire
Qutub Minar,Tallest brick minaret in the world,Delhi,Delhi,28.5244,77.1855,1193,Delhi Sultanate
Hampi,Ancient village with ruins of Vijayanagara Empire,Karnataka,Hampi,15.335,76.46,1336,Vijayanagara Empire
Konark Sun Temple,13th century Sun temple famous for architecture,Odisha,Konark,19.8876,86.0945,1250,Eastern Ganga Dynasty
Ajanta Caves,Rock cut Buddhist cave monuments,Maharashtra,Aurangabad,20.5519,75.7033,-200,Satavahana Dynasty
Ellora Caves,UNESCO heritage cave temples,Maharashtra,Aurangabad,20.0268,75.179,600,Rashtrakuta Dynasty
Mysore Palace,Royal residence of Wadiyar dynasty,Karnataka,Mysore,12.3052,76.6552,1912,Wadiyar Dynasty
Gateway of India,Monument built during British Raj,Maharashtra,Mumbai,18.922,72.8347,1924,British Raj
Charminar,Mosque and monument built in Hyderabad,Telangana,Hyderabad,17.3616,78.4747,1591,Qutb Shahi Dynasty
