id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,batting_average
ansonca01,1871,1,RC1,0,25,120,29,39,11,3,0,16.0,6.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.325
forceda01,1871,1,WS3,0,32,162,45,45,9,4,0,29.0,8.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778
mathebo01,1871,1,FW1,0,19,89,15,24,3,1,0,10.0,2.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2696629213483146
startjo01,1871,1,NY2,0,33,161,35,58,5,1,1,34.0,4.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.36024844720496896
suttoez01,1871,1,CL1,0,29,128,35,45,3,7,3,23.0,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3515625
whitede01,1871,1,CL1,0,29,146,40,47,6,5,1,21.0,2.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.3219178082191781
yorkto01,1871,1,TRO,0,29,145,36,37,5,7,2,23.0,2.0,2.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.25517241379310346
ansonca01,1872,1,PH1,0,46,217,60,90,10,7,0,50.0,6.0,6.0,16,3.0,0.0,0.0,0.0,0.0,0.0,0.4147465437788018
burdoja01,1872,1,BR2,0,37,174,26,46,3,0,0,15.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403
forceda01,1872,1,TRO,0,25,130,40,53,11,0,0,16.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4076923076923077
forceda01,1872,2,BL1,0,19,95,29,41,2,2,0,13.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43157894736842106
hinespa01,1872,1,WS4,0,11,49,9,12,1,0,0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24489795918367346
mathebo01,1872,1,BL1,0,50,223,36,50,1,0,0,21.0,1.0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.2242152466367713
nelsoca01,1872,1,TRO,0,4,20,2,7,0,0,0,4.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.35
nelsoca01,1872,2,BR1,0,18,76,12,19,2,0,0,8.0,1.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.25
orourji01,1872,1,MID,0,23,101,25,31,4,1,0,12.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3069306930693069
startjo01,1872,1,NY2,0,55,282,62,76,4,0,0,50.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695035460992908
suttoez01,1872,1,CL1,0,22,107,30,30,6,1,0,10.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.2803738317757009
whitede01,1872,1,CL1,0,22,109,21,37,2,2,0,22.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.3394495412844037
yorkto01,1872,1,BL1,0,51,248,66,66,10,4,1,41.0,2.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.2661290322580645
ansonca01,1873,1,PH1,0,52,254,53,101,9,2,0,36.0,0.0,2.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.39763779527559057
burdoja01,1873,1,BR2,0,55,245,56,62,7,1,2,36.0,3.0,1.0,7,4.0,0.0,0.0,0.0,0.0,0.0,0.2530612244897959
forceda01,1873,1,BL1,0,49,234,77,86,8,1,0,31.0,1.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.36752136752136755
gerhajo01,1873,1,WS5,0,13,56,6,12,3,0,0,7.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427
hinespa01,1873,1,WS5,0,39,181,33,60,6,3,1,29.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.3314917127071823
mathebo01,1873,1,NY2,0,52,223,40,43,3,3,0,13.0,1.0,1.0,10,3.0,0.0,0.0,0.0,0.0,0.0,0.19282511210762332
nelsoca01,1873,1,NY2,0,36,168,28,55,4,1,0,22.0,2.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.3273809523809524
orourji01,1873,1,BS1,0,57,280,79,98,19,3,1,48.0,4.0,2.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.35
snydepo01,1873,1,WS5,0,28,108,16,21,2,0,0,4.0,0.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445
startjo01,1873,1,NY2,0,53,251,42,67,8,3,1,28.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.26693227091633465
suttoez01,1873,1,PH1,0,51,242,51,81,7,6,0,33.0,1.0,3.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.3347107438016529
whitede01,1873,1,BS1,0,60,310,79,121,15,6,0,66.0,6.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.3903225806451613
yorkto01,1873,1,BL1,0,57,277,70,84,10,7,2,49.0,3.0,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.30324909747292417
ansonca01,1874,1,PH1,0,55,259,51,87,8,3,0,37.0,6.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.3359073359073359
burdoja01,1874,1,NY2,0,61,273,45,75,11,4,1,27.0,4.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.27472527472527475
forceda01,1874,1,CH2,0,59,294,61,92,9,0,0,26.0,4.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.3129251700680272
gerhajo01,1874,1,BL1,0,14,61,10,19,0,1,0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114754098360656
hinespa01,1874,1,CH2,0,59,271,47,80,10,2,0,34.0,4.0,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.2952029520295203
mathebo01,1874,1,NY2,0,65,298,46,72,6,1,0,30.0,2.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.24161073825503357
nelsoca01,1874,1,NY2,0,65,297,55,73,7,5,0,32.0,6.0,0.0,9,5.0,0.0,0.0,0.0,0.0,0.0,0.24579124579124578
orourji01,1874,1,BS1,0,70,331,82,104,15,8,5,61.0,11.0,1.0,4,5.0,0.0,0.0,0.0,0.0,0.0,0.31419939577039274
shaffor01,1874,1,HR1,0,9,35,6,8,0,0,1,3.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856
shaffor01,1874,2,NY2,0,1,5,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
snydepo01,1874,1,BL1,0,39,151,24,33,4,0,1,17.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.2185430463576159
startjo01,1874,1,NY2,0,63,306,67,96,13,3,2,45.0,5.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3137254901960784
suttoez01,1874,1,PH1,0,55,243,54,71,10,3,0,28.0,6.0,4.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.29218106995884774
whitede01,1874,1,BS1,0,70,353,75,106,5,7,3,52.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.3002832861189802
yorkto01,1874,1,PH2,0,50,224,36,56,4,7,0,37.0,1.0,0.0,5,4.0,0.0,0.0,0.0,0.0,0.0,0.25
ansonca01,1875,1,PH1,0,69,326,84,106,15,3,0,58.0,11.0,6.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.32515337423312884
burdoja01,1875,1,HR1,0,74,350,72,103,12,5,0,35.0,20.0,11.0,3,13.0,0.0,0.0,0.0,0.0,0.0,0.29428571428571426
forceda01,1875,1,PH1,0,77,386,78,120,22,5,0,49.0,6.0,3.0,7,5.0,0.0,0.0,0.0,0.0,0.0,0.31088082901554404
galvipu01,1875,1,SL2,0,13,46,8,6,2,1,0,2.0,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
gerhajo01,1875,1,NY2,0,58,252,29,54,7,3,0,20.0,0.0,5.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427
hinespa01,1875,1,CH2,0,69,308,45,101,14,4,0,36.0,6.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32792207792207795
jonesch01,1875,1,KEO,0,12,47,4,13,2,4,0,10.0,1.0,1.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.2765957446808511
jonesch01,1875,2,HR1,0,1,4,1,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mathebo01,1875,1,NY2,0,70,264,23,48,6,2,0,15.0,1.0,2.0,2,5.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
nelsoca01,1875,1,NY2,0,70,276,28,55,7,1,0,23.0,4.0,2.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.19927536231884058
orourji01,1875,1,BS1,0,75,358,97,106,13,7,6,72.0,17.0,5.0,9,6.0,0.0,0.0,0.0,0.0,0.0,0.29608938547486036
shaffor01,1875,1,PH2,0,19,70,10,17,2,1,0,6.0,2.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.24285714285714285
snydepo01,1875,1,PH2,0,66,263,38,64,8,2,1,25.0,3.0,8.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.24334600760456274
startjo01,1875,1,NY2,0,69,314,58,90,10,5,4,30.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.28662420382165604
suttoez01,1875,1,PH1,0,75,358,83,116,11,7,1,59.0,13.0,10.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.3240223463687151
whitede01,1875,1,BS1,0,80,371,76,136,23,3,1,60.0,2.0,3.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.3665768194070081
yorkto01,1875,1,HR1,0,86,375,68,111,14,7,0,37.0,7.0,3.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.296
ansonca01,1876,1,CHN,NL,66,309,63,110,9,7,2,59.0,0.0,0.0,12,8.0,0.0,0.0,0.0,0.0,0.0,0.3559870550161812
burdoja01,1876,1,HAR,NL,69,309,66,80,9,1,0,23.0,0.0,0.0,13,16.0,0.0,0.0,0.0,0.0,0.0,0.2588996763754045
forceda01,1876,1,PHN,NL,60,284,48,66,6,0,0,17.0,0.0,0.0,5,3.0,0.0,0.0,0.0,0.0,0.0,0.2323943661971831
forceda01,1876,2,NY3,NL,1,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gerhajo01,1876,1,LS1,NL,65,292,33,76,10,3,2,18.0,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.2602739726027397
hinespa01,1876,1,CHN,NL,64,305,62,101,21,3,2,59.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.33114754098360655
jonesch01,1876,1,CN1,NL,64,276,40,79,17,4,4,38.0,0.0,0.0,7,17.0,0.0,0.0,0.0,0.0,0.0,0.286231884057971
mathebo01,1876,1,NY3,NL,56,218,19,40,4,1,0,9.0,0.0,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101
morrijo01,1876,1,BSN,NL,66,278,38,73,5,2,0,26.0,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0,0.26258992805755393
orourji01,1876,1,BSN,NL,70,312,61,102,17,3,2,43.0,0.0,0.0,15,17.0,0.0,0.0,0.0,0.0,0.0,0.3269230769230769
snydepo01,1876,1,LS1,NL,56,224,21,44,4,1,1,9.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857142
startjo01,1876,1,NY3,NL,56,264,40,73,6,0,0,21.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.2765151515151515
suttoez01,1876,1,PHN,NL,54,236,45,70,12,7,1,31.0,0.0,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.2966101694915254
whitede01,1876,1,CHN,NL,66,303,66,104,18,1,1,60.0,0.0,0.0,7,3.0,0.0,0.0,0.0,0.0,0.0,0.3432343234323432
yorkto01,1876,1,HAR,NL,67,263,47,68,12,7,1,39.0,0.0,0.0,10,4.0,0.0,0.0,0.0,0.0,0.0,0.2585551330798479
ansonca01,1877,1,CHN,NL,59,255,52,86,19,1,0,32.0,0.0,0.0,9,3.0,0.0,0.0,0.0,0.0,0.0,0.33725490196078434
burdoja01,1877,1,HAR,NL,58,277,35,72,6,0,0,9.0,0.0,0.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.259927797833935
forceda01,1877,1,SL3,NL,58,225,24,59,5,3,0,22.0,0.0,0.0,11,15.0,0.0,0.0,0.0,0.0,0.0,0.26222222222222225
gerhajo01,1877,1,LS1,NL,59,250,41,76,6,5,1,35.0,0.0,0.0,5,8.0,0.0,0.0,0.0,0.0,0.0,0.304
hinespa01,1877,1,CHN,NL,60,261,44,73,11,7,0,23.0,0.0,0.0,1,8.0,0.0,0.0,0.0,0.0,0.0,0.2796934865900383
jonesch01,1877,1,CN1,NL,17,69,16,21,3,3,1,10.0,0.0,0.0,4,8.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654
jonesch01,1877,2,CHN,NL,2,8,1,3,1,0,0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.375
jonesch01,1877,3,CN1,NL,38,163,36,51,8,7,1,26.0,0.0,0.0,10,17.0,0.0,0.0,0.0,0.0,0.0,0.3128834355828221
mathebo01,1877,1,CN1,NL,15,59,5,10,0,0,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.1694915254237288
morrijo01,1877,1,BSN,NL,61,242,47,73,5,1,0,28.0,0.0,0.0,6,15.0,0.0,0.0,0.0,0.0,0.0,0.30165289256198347
orourji01,1877,1,BSN,NL,61,265,68,96,14,4,0,23.0,0.0,0.0,20,9.0,0.0,0.0,0.0,0.0,0.0,0.3622641509433962
shaffor01,1877,1,LS1,NL,61,260,38,74,9,5,3,34.0,0.0,0.0,9,17.0,0.0,0.0,0.0,0.0,0.0,0.2846153846153846
snydepo01,1877,1,LS1,NL,61,248,23,64,7,2,2,28.0,0.0,0.0,3,14.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225
startjo01,1877,1,HAR,NL,60,271,55,90,3,6,1,21.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.33210332103321033
suttoez01,1877,1,BSN,NL,58,253,43,74,10,6,0,39.0,0.0,0.0,4,10.0,0.0,0.0,0.0,0.0,0.0,0.2924901185770751
whitede01,1877,1,BSN,NL,59,266,51,103,14,11,2,49.0,0.0,0.0,8,3.0,0.0,0.0,0.0,0.0,0.0,0.38721804511278196
yorkto01,1877,1,HAR,NL,56,237,43,67,16,7,1,37.0,0.0,0.0,3,11.0,0.0,0.0,0.0,0.0,0.0,0.28270042194092826
ansonca01,1878,1,CHN,NL,60,261,55,89,12,2,0,40.0,0.0,0.0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.34099616858237547
bennech01,1878,1,ML2,NL,49,184,16,45,9,0,1,12.0,0.0,0.0,10,26.0,0.0,0.0,0.0,0.0,0.0,0.24456521739130435
burdoja01,1878,1,BSN,NL,60,246,37,64,12,6,0,25.0,0.0,0.0,3,17.0,0.0,0.0,0.0,0.0,0.0,0.2601626016260163
gerhajo01,1878,1,CN1,NL,60,259,46,77,7,2,0,28.0,0.0,0.0,7,14.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973
hinespa01,1878,1,PRO,NL,62,257,42,92,13,4,4,50.0,0.0,0.0,2,10.0,0.0,0.0,0.0,0.0,0.0,0.35797665369649806
jonesch01,1878,1,CN1,NL,61,261,50,81,11,7,3,39.0,0.0,0.0,4,17.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069
kellyki01,1878,1,CN1,NL,60,237,29,67,7,1,0,27.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.28270042194092826
morrijo01,1878,1,BSN,NL,60,233,26,56,5,1,0,23.0,0.0,0.0,5,16.0,0.0,0.0,0.0,0.0,0.0,0.24034334763948498
